Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
LINC01317	151.73132483928188	3.8900909219574342	1.1566505759115504	0.04305012635061744	0.9994628079712078	FALSE
TRIM33	3.9674745058433682	3.4934529200106237	1.7230795304651811	0.11980164110219424	0.9994628079712078	FALSE
MAFF	7.690405076188411	3.3330970760526886	1.8226856977453891	0.010382587069902012	0.89667797421881	FALSE
ATP5F1A	1.3789795992357523	3.171224686080817	1.7926666338607018	0.3233432319241371	0.9994628079712078	FALSE
AHDC1	3.780356618870983	2.7883789599386684	1.2845024332443338	0.008345437388238864	0.8587071181216482	FALSE
PITX1	6.077335590074271	2.724373951679337	1.4560504416504105	0.00903902229601735	0.8587071181216482	FALSE
PTGIR	6.272050130075914	2.1118861185704	2.2920211355300393	0.017470895667542403	0.9994628079712078	FALSE
TRBV20-1	1817.4756750637716	1.853436855167151	0.22694609413052588	1.8389100194298347e-4	0.061872686407786925	FALSE
TRBV12-3	404.2840449845414	1.4324077745048491	0.21619499175090626	0.061903596226580114	0.9994628079712078	FALSE
TRBV11-3	990.0837265470338	0.9980527056982834	0.9514525145927553	0.0048036067716232655	0.8587071181216482	FALSE
TRBV7-6	2411.9087167615853	3.72290588339838e-5	0.0014429296270903023	0.9040402110841099	0.9994628079712078	FALSE
TRBV6-5	320.38789772153734	2.0030966705382142e-5	0.0014427434730591685	0.21239667964933812	0.9994628079712078	FALSE
TRBJ2-5	77.26841306401755	1.0318588953662568e-5	0.0014426967355670162	0.28146412628487705	0.9994628079712078	FALSE
TRBV10-3	364.5973285729726	6.432920939651389e-6	0.0014426854240838375	0.8460857796984743	0.9994628079712078	FALSE
TRBV27	410.3743205323434	6.175393676364934e-6	0.001442679490962728	0.12486403662345011	0.9994628079712078	FALSE
TRBJ2-3	232.8743697997126	5.562282378441416e-6	0.0014426883821372697	0.06575651097531776	0.9994628079712078	FALSE
TRBJ1-2	80.94706506433914	5.531487535792939e-6	0.0014426849670596516	0.05186625996416277	0.9994628079712078	FALSE
TRBV15	329.46929538610556	5.511968102839972e-6	0.0014426823583506207	0.13028279427458345	0.9994628079712078	FALSE
TRBV7-4	13.283990370045839	5.040551438111004e-6	0.0014426897790435515	0.07820485236874092	0.9994628079712078	FALSE
TRBV7-9	2228.6727200925666	4.715970676761089e-6	0.0014426907496961929	0.054123513312534656	0.9994628079712078	FALSE
TRBJ2-6	26.24968486556974	4.419611299952656e-6	0.0014426868420910025	0.15068485327835573	0.9994628079712078	FALSE
TRBJ1-4	185.27301417915547	4.388557588763285e-6	0.00144268737628179	0.1297052607306615	0.9994628079712078	FALSE
TRBV19	152.2311322998229	4.355064115414104e-6	0.0014426879978719713	0.11690794027370999	0.9994628079712078	FALSE
TRBC1	205.54741983231446	4.108320250095316e-6	0.0014426888724771104	0.11468407915289719	0.9994628079712078	FALSE
TRBV12-4	175.1719932906154	3.921340321440049e-6	0.0014426891997733203	0.11414725565168932	0.9994628079712078	FALSE
TRBV7-3	183.9596704839285	3.879485910139243e-6	0.0014426840315013084	0.2188288823070482	0.9994628079712078	FALSE
TRBV10-2	67.78078515980486	3.830659579598849e-6	0.001442682288638258	0.25519314874419974	0.9994628079712078	FALSE
TRBJ2-2	56.9979574526475	3.708943418655431e-6	0.0014426822001686877	0.2838693918450792	0.9994628079712078	FALSE
TRBV5-4	4706.593889685779	3.2004850863506462e-6	0.0014426935544999302	0.044615472373818466	0.9994628079712078	FALSE
ZFTRAF1	2.998949005932424	2.9937707495798526e-6	0.0014426950792100993	0.031559694776056205	0.9994628079712078	FALSE
TMEM41A	2.035350446950135	2.9489508461083976e-6	0.001442694796481791	0.06197234795849308	0.9994628079712078	FALSE
